date,miner_revenue
2011-09-17,31948.06274392913
2011-09-18,41410.21435560911
2011-09-19,34720.97427075104
2011-09-20,42843.75220772391
2011-09-21,41354.13134919092
2011-09-22,40525.08603832563
2011-09-23,36981.38810390267
2011-09-24,35328.09040684599
2011-09-25,36274.14996121832
2011-09-26,32637.690669816
2011-09-27,31339.31968578603
2011-09-28,34634.32648014553
2011-09-29,29920.1784640433
2011-09-30,31427.82041549634
2011-10-01,35897.70733033776
2011-10-02,30429.39541429791
2011-10-03,36469.49439671076
2011-10-04,27794.2211118
2011-10-05,35398.88238657505
2011-10-06,30338.61657657849
2011-10-07,29500.66364044413
2011-10-08,23848.20439031125
2011-10-09,26065.34334242579
2011-10-10,25148.39497946788
2011-10-11,18430.79826634905
2011-10-12,24919.209001997
2011-10-13,19640.65791219211
2011-10-14,27729.77401959687
2011-10-15,25794.82254623256
2011-10-16,21267.09171361327
2011-10-17,15082.31194388404
2011-10-18,14462.93397825258
2011-10-19,15051.37959323982
2011-10-20,13515.14369276287
2011-10-21,15510.25662884027
2011-10-22,15388.62569588247
2011-10-23,17099.20455211979
2011-10-24,16128.17686791273
2011-10-25,17897.39714363787
2011-10-26,16230.67034956347
2011-10-27,15208.73222433318
2011-10-28,16731.98450237643
2011-10-29,20173.06430173015
2011-10-30,18117.57381751891
2011-10-31,21256.67808944774
2011-11-01,23743.7270195243
2011-11-02,25064.17155777418
2011-11-03,19731.05443715979
2011-11-04,22467.18055834726
2011-11-05,21710.05326529239
2011-11-06,21317.36129244486
2011-11-07,19850.83195558242
2011-11-08,22703.03463440106
2011-11-09,23742.7890376169
2011-11-10,20085.92295264431
2011-11-11,18293.91163011999
2011-11-12,21679.06847992694
2011-11-13,21579.6428369077
2011-11-14,15322.91007241149
2011-11-15,19183.71238289077
2011-11-16,17342.83276587191
2011-11-17,15643.9075407075
2011-11-18,13646.21564794236
2011-11-19,13533.39458325998
2011-11-20,15737.7277889827
2011-11-21,13513.57018112548
2011-11-22,16295.56883092996
2011-11-23,15632.95957654033
2011-11-24,13725.80559519921
2011-11-25,16840.54917380605
2011-11-26,14827.1807646313
2011-11-27,14125.07774652511
2011-11-28,16183.07772531106
2011-11-29,18988.39312024773
2011-11-30,23859.67190305289
2011-12-01,27936.19799651231
2011-12-02,22724.09611372638
2011-12-03,21169.1422005401
2011-12-04,19239.09758967331
2011-12-05,22532.01238553166
2011-12-06,25949.40160917747
2011-12-07,20530.23431657001
2011-12-08,24515.64070784498
2011-12-09,21781.71254665928
2011-12-10,22000.32998573875
2011-12-11,25422.63088007548
2011-12-12,20534.12989620939
2011-12-13,21462.51555527333
2011-12-14,24091.81681709701
2011-12-15,17956.2241823715
2011-12-16,18927.57396296565
2011-12-17,24011.74587934638
2011-12-18,22995.9367865239
2011-12-19,28029.4560680825
2011-12-20,26696.70038312588
2011-12-21,28938.18566557213
2011-12-22,28934.44523586572
2011-12-23,27835.09135865524
2011-12-24,28573.8485460084
2011-12-25,36769.85958047025
2011-12-26,35515.71769042572
2011-12-27,29793.46125292642
2011-12-28,32438.4125051148
2011-12-29,28766.64273979593
2011-12-30,30173.86550511144
2011-12-31,35666.92838884369
2012-01-01,40398.513960954
2012-01-02,39415.65841359611
2012-01-03,38849.38770818405
