date,realized_price
2016-08-27,369.7460510859524
2016-08-28,369.7753755669687
2016-08-29,369.6616782074295
2016-08-30,369.931497949134
2016-08-31,370.2600173286295
2016-09-01,370.2587280256997
2016-09-02,370.3139715813602
2016-09-03,370.5022727694214
2016-09-04,370.8698521302663
2016-09-05,371.0989919270871
2016-09-06,371.4431440222911
2016-09-07,371.6946184427578
2016-09-08,372.1273035964693
2016-09-09,372.4379924039052
2016-09-10,372.6369743106971
2016-09-11,372.804070259143
2016-09-12,372.8393475505911
2016-09-13,373.2401978759875
2016-09-14,373.4132082481797
2016-09-15,373.5312522516294
2016-09-16,373.799939349408
2016-09-17,373.9005281013571
2016-09-18,374.0356461357038
2016-09-19,374.1439202257188
2016-09-20,374.6848392360369
2016-09-21,374.6517387112351
2016-09-22,374.682897030555
2016-09-23,374.7499862141817
2016-09-24,374.5044194844344
2016-09-25,374.8048492395883
2016-09-26,375.0195385495253
2016-09-27,375.2288283765615
2016-09-28,375.3201167128083
2016-09-29,375.4019817588288
2016-09-30,375.4361952214044
2016-10-01,375.5967643559528
2016-10-02,375.6745030957696
2016-10-03,376.0506714963411
2016-10-04,376.4102544686091
2016-10-05,376.5852627613282
2016-10-06,376.7437509100086
2016-10-07,376.910093097781
2016-10-08,377.1103099072765
2016-10-09,377.2127968455298
2016-10-10,377.3782382850627
2016-10-11,378.084630295984
2016-10-12,378.8348928232318
2016-10-13,379.0655130960067
2016-10-14,379.2671892183597
2016-10-15,379.4335568726693
2016-10-16,379.6274079745125
2016-10-17,380.2418446688189
2016-10-18,380.6937328120929
2016-10-19,380.8707967825324
2016-10-20,381.0040472465192
2016-10-21,381.4575491780424
2016-10-22,381.7768143700185
2016-10-23,382.0398385473172
2016-10-24,382.3955980054841
2016-10-25,382.8919570015912
2016-10-26,383.6302145700569
2016-10-27,384.6491787193295
2016-10-28,385.0890245419345
2016-10-29,385.9079801029331
2016-10-30,386.1460052066901
2016-10-31,386.8329482030476
2016-11-01,387.7476549332317
2016-11-02,388.3497107074526
2016-11-03,388.7823913485206
2016-11-04,389.0188516249314
2016-11-05,389.2322134997265
2016-11-06,389.517127187981
2016-11-07,389.8229294025184
2016-11-08,390.531647242377
2016-11-09,391.4170841287864
2016-11-10,391.7842162372634
2016-11-11,392.1691983775595
2016-11-12,392.3030299672066
2016-11-13,392.3675241650475
2016-11-14,392.6844907745406
2016-11-15,393.2142225417164
2016-11-16,394.3493726127257
2016-11-17,395.3308690675883
2016-11-18,396.0216390227594
2016-11-19,396.396999333733
2016-11-20,396.5579095159565
2016-11-21,397.0165978323894
2016-11-22,397.6488044462266
2016-11-23,398.1501667877293
2016-11-24,399.9875249801226
2016-11-25,400.2649790677235
2016-11-26,400.5883728350209
2016-11-27,400.9107346356536
2016-11-28,401.3538347365731
2016-11-29,401.649965694354
2016-11-30,402.1394156961827
2016-12-01,402.8229849038551
2016-12-02,403.8768486715962
2016-12-03,406.8543501183143
2016-12-04,407.1353897472027
2016-12-05,407.5577374905286
2016-12-06,407.9108106519963
2016-12-07,408.4040347718927
2016-12-08,409.1360443559341
2016-12-09,409.501047471681
2016-12-10,410.1747879377921
2016-12-11,410.4407459232709
2016-12-12,411.0318752679976
2016-12-13,411.5774205364395
