date,addresses_nonzero_balance
2009-12-09,26971.0
2009-12-10,27075.0
2009-12-11,27187.0
2009-12-12,27231.0
2009-12-13,27345.0
2009-12-14,27121.0
2009-12-15,27227.0
2009-12-16,27347.0
2009-12-17,27513.0
2009-12-18,27738.0
2009-12-19,27935.0
2009-12-20,28110.0
2009-12-21,28285.0
2009-12-22,28447.0
2009-12-23,28601.0
2009-12-24,28755.0
2009-12-25,28905.0
2009-12-26,29079.0
2009-12-27,29242.0
2009-12-28,29379.0
2009-12-29,29550.0
2009-12-30,29691.0
2009-12-31,29829.0
2010-01-01,29960.0
2010-01-02,30087.0
2010-01-03,30273.0
2010-01-04,30374.0
2010-01-05,30572.0
2010-01-06,30735.0
2010-01-07,30889.0
2010-01-08,31042.0
2010-01-09,31193.0
2010-01-10,31383.0
2010-01-11,31542.0
2010-01-12,31487.0
2010-01-13,31653.0
2010-01-14,31789.0
2010-01-15,31925.0
2010-01-16,32045.0
2010-01-17,32176.0
2010-01-18,32302.0
2010-01-19,32426.0
2010-01-20,32584.0
2010-01-21,32756.0
2010-01-22,32886.0
2010-01-23,33046.0
2010-01-24,33199.0
2010-01-25,33357.0
2010-01-26,33538.0
2010-01-27,33682.0
2010-01-28,33838.0
2010-01-29,34017.0
2010-01-30,34196.0
2010-01-31,34344.0
2010-02-01,34519.0
2010-02-02,34643.0
2010-02-03,34907.0
2010-02-04,35099.0
2010-02-05,35082.0
2010-02-06,35246.0
2010-02-07,35458.0
2010-02-08,35540.0
2010-02-09,35333.0
2010-02-10,34896.0
2010-02-11,34991.0
2010-02-12,35139.0
2010-02-13,35288.0
2010-02-14,35447.0
2010-02-15,35539.0
2010-02-16,35722.0
2010-02-17,35942.0
2010-02-18,36095.0
2010-02-19,36288.0
2010-02-20,36484.0
2010-02-21,36583.0
2010-02-22,36579.0
2010-02-23,36829.0
2010-02-24,36895.0
2010-02-25,36908.0
2010-02-26,37062.0
2010-02-27,37225.0
2010-02-28,37276.0
2010-03-01,37440.0
2010-03-02,37589.0
2010-03-03,37637.0
2010-03-04,37436.0
2010-03-05,37607.0
2010-03-06,37693.0
2010-03-07,37759.0
2010-03-08,37707.0
2010-03-09,37773.0
2010-03-10,37901.0
2010-03-11,37971.0
2010-03-12,38085.0
2010-03-13,38203.0
2010-03-14,38320.0
2010-03-15,38458.0
2010-03-16,38562.0
2010-03-17,38675.0
2010-03-18,38742.0
2010-03-19,38774.0
2010-03-20,38907.0
2010-03-21,39083.0
2010-03-22,39224.0
2010-03-23,39360.0
2010-03-24,39506.0
2010-03-25,39359.0
2010-03-26,39483.0
2010-03-27,39640.0
2010-03-28,39810.0
2010-03-29,39938.0
2010-03-30,40143.0
2010-03-31,40331.0
2010-04-01,40473.0
2010-04-02,40609.0
2010-04-03,40749.0
2010-04-04,40854.0
2010-04-05,40892.0
2010-04-06,40960.0
2010-04-07,41057.0
2010-04-08,41225.0
2010-04-09,41348.0
2010-04-10,41358.0
2010-04-11,41443.0
2010-04-12,41529.0
2010-04-13,41688.0
2010-04-14,41796.0
2010-04-15,41387.0
2010-04-16,41397.0
2010-04-17,41560.0
2010-04-18,41712.0
2010-04-19,41677.0
2010-04-20,41695.0
2010-04-21,41786.0
2010-04-22,41916.0
2010-04-23,42032.0
2010-04-24,42116.0
2010-04-25,42127.0
2010-04-26,42232.0
2010-04-27,42375.0
2010-04-28,42456.0
2010-04-29,42568.0
2010-04-30,42690.0
2010-05-01,42818.0
2010-05-02,42939.0
2010-05-03,42998.0
2010-05-04,42981.0
2010-05-05,42991.0
2010-05-06,42873.0
2010-05-07,42927.0
2010-05-08,42818.0
2010-05-09,42894.0
2010-05-10,42885.0
2010-05-11,42966.0
2010-05-12,42987.0
2010-05-13,43025.0
2010-05-14,43062.0
2010-05-15,43102.0
2010-05-16,43175.0
2010-05-17,43198.0
2010-05-18,43269.0
2010-05-19,43343.0
2010-05-20,43492.0
2010-05-21,43551.0
2010-05-22,43629.0
2010-05-23,43743.0
2010-05-24,43858.0
2010-05-25,43979.0
2010-05-26,44097.0
2010-05-27,44170.0
2010-05-28,44345.0
2010-05-29,44428.0
2010-05-30,44535.0
2010-05-31,44622.0
2010-06-01,44690.0
