date,realized_marketcap
2011-08-20,48013872.67
2011-08-21,48097766.05
2011-08-22,48187942.07
2011-08-23,48246620.68
2011-08-24,48314457.97
2011-08-25,48790415.57
2011-08-26,48888552.4
2011-08-27,46430890.27
2011-08-28,46493092.82
2011-08-29,46592050.39
2011-08-30,46619233.56
2011-08-31,46642681.06
2011-09-01,46620709.0
2011-09-02,46693921.67
2011-09-03,46749262.19
2011-09-04,46763316.36
2011-09-05,46732348.7
2011-09-06,46638641.75
2011-09-07,46615330.36
2011-09-08,46503316.36
2011-09-09,46409654.19
2011-09-10,46359218.52
2011-09-11,44701923.6
2011-09-12,44629886.92
2011-09-13,44524977.29
2011-09-14,44509601.17
2011-09-15,44469668.91
2011-09-16,44382988.04
2011-09-17,44378817.85
2011-09-18,44407894.54
2011-09-19,44386180.77
2011-09-20,44428219.07
2011-09-21,44433026.82
2011-09-22,44395109.59
2011-09-23,44405250.52
2011-09-24,44417368.24
2011-09-25,44168085.85
2011-09-26,44154685.49
2011-09-27,44146238.97
2011-09-28,44140755.41
2011-09-29,44146421.0
2011-09-30,44177738.9
2011-10-01,44149852.82
2011-10-02,44120226.54
2011-10-03,44114726.72
2011-10-04,44107997.58
2011-10-05,44106637.09
2011-10-06,44100628.64
2011-10-07,44015425.09
2011-10-08,43990160.06
2011-10-09,43953373.15
2011-10-10,43946926.95
2011-10-11,43833257.79
2011-10-12,43777536.56
2011-10-13,43768546.23
2011-10-14,43730215.72
2011-10-15,43723729.63
2011-10-16,43700925.75
2011-10-17,43455730.6
2011-10-18,43332393.65
2011-10-19,43084813.49
2011-10-20,43048524.61
2011-10-21,43013988.9
2011-10-22,42963471.4
2011-10-23,42961553.45
2011-10-24,42937898.39
2011-10-25,42917274.29
2011-10-26,42787513.5
2011-10-27,42785246.78
2011-10-28,42813776.33
2011-10-29,42838885.96
2011-10-30,42854791.67
2011-10-31,42842212.11
2011-11-01,42844248.12
2011-11-02,42857265.25
2011-11-03,42790884.2
2011-11-04,42775917.9
2011-11-05,42772934.13
2011-11-06,42781181.57
2011-11-07,42783322.49
2011-11-08,42758483.97
2011-11-09,41493857.42
2011-11-10,41489807.8
2011-11-11,41465310.38
2011-11-12,41489015.16
2011-11-13,41499222.21
2011-11-14,41437676.39
2011-11-15,41410101.49
2011-11-16,38668215.85
2011-11-17,38501933.95
2011-11-18,38192867.72
2011-11-19,38185625.27
2011-11-20,38227574.09
2011-11-21,38164715.52
2011-11-22,38172947.93
2011-11-23,38160371.83
2011-11-24,38220567.67
2011-11-25,38238004.21
2011-11-26,38110946.59
2011-11-27,38100052.97
2011-11-28,37712054.61
